ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-LongLeadTime,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-LongLeadTime,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-LongLeadTime,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-LongLeadTime,thesis_source,provenance_confidence
PH.S.DRCMRF.1S-Cost,0,1 EA,PHP_2020,lognormal,"20280.0,13520.0|5,20",0.5,0,lognormal,"33960.0,22640.0|5,20",0.54,0,lognormal,"53880.0,35920.0|5,20",0.59,0,lognormal,"33960.0,22640.0|5,20",0.53,0,"Table D-8, p.305",high
PH.S.DRCMRF.1S-Time,0,1 EA,worker_hour,lognormal,"8.76,5.84|5,20",0.5,0,normal,"19.68,13.12|5,20",0.54,0,normal,"30.24,20.16|5,20",0.49,0,normal,"19.68,13.12|5,20",0.54,0,"Table D-8, p.305",high
PH.S.DRCMRF.2S-Cost,0,1 EA,PHP_2020,lognormal,"30720.0,20480.0|5,20",0.59,0,lognormal,"52200.0,34800.0|5,20",0.54,0,lognormal,"79080.0,52720.0|5,20",0.61,0,lognormal,"52200.0,34800.0|5,20",0.54,0,"Table D-8, p.305",high
PH.S.DRCMRF.2S-Time,0,1 EA,worker_hour,lognormal,"12.36,8.24|5,20",0.58,0,lognormal,"26.28,17.52|5,20",0.61,0,lognormal,"36.6,24.4|5,20",0.57,0,lognormal,"26.28,17.52|5,20",0.61,0,"Table D-8, p.305",high
PH.S.NDRCMRF.1S-Cost,0,1 EA,PHP_2020,lognormal,"23140.0,16020.0|5,20",0.5,0,normal,"41730.0,28890.0|5,20",0.48,0,normal,"72410.0,50130.0|5,20",0.49,0,,,,,"Table D-8, p.305",high
PH.S.NDRCMRF.1S-Time,0,1 EA,worker_hour,lognormal,"10.01,6.93|5,20",0.51,0,normal,"23.4,16.2|5,20",0.53,0,normal,"36.66,25.38|5,20",0.48,0,,,,,"Table D-8, p.305",high
PH.S.NDRCMRF.2S-Cost,0,1 EA,PHP_2020,lognormal,"36140.0,25020.0|5,20",0.6,0,normal,"69420.0,48060.0|5,20",0.52,0,normal,"117000.0,81000.0|5,20",0.54,0,,,,,"Table D-8, p.305",high
PH.S.NDRCMRF.2S-Time,0,1 EA,worker_hour,lognormal,"14.69,10.17|5,20",0.59,0,normal,"33.93,23.49|5,20",0.56,0,normal,"48.36,33.48|5,20",0.53,0,,,,,"Table D-8, p.305",high
PH.S.PTRCMRF.1S-Cost,0,1 EA,PHP_2020,lognormal,"12360.0,8240.0|5,20",0.61,0,lognormal,"19800.0,13200.0|5,20",0.55,0,lognormal,"29760.0,19840.0|5,20",0.9,0,lognormal,"19800.0,13200.0|5,20",0.54,0,"Table D-8, p.305",high
PH.S.PTRCMRF.1S-Time,0,1 EA,worker_hour,lognormal,"4.8,3.2|5,20",0.58,0,normal,"10.2,6.8|5,20",0.54,0,lognormal,"19.44,12.96|5,20",0.8,0,normal,"10.2,6.8|5,20",0.54,0,"Table D-8, p.305",high
PH.S.PTRCMRF.2S-Cost,0,1 EA,PHP_2020,lognormal,"19800.0,13200.0|5,20",0.71,0,lognormal,"29400.0,19600.0|5,20",0.55,0,lognormal,"45240.0,30160.0|5,20",0.9,0,lognormal,"29400.0,19600.0|5,20",0.55,0,"Table D-8, p.305",high
PH.S.PTRCMRF.2S-Time,0,1 EA,worker_hour,lognormal,"7.2,4.8|5,20",0.69,0,lognormal,"11.28,7.52|5,20",0.6,0,lognormal,"25.92,17.28|5,20",0.78,0,lognormal,"11.28,7.52|5,20",0.6,0,"Table D-8, p.305",high
PH.S.SMRF.1S-Cost,0,1 EA,PHP_2020,lognormal,"60360.0,40240.0|3,7",0.19,0,normal,"214920.0,143280.0|3,7",0.29,0,normal,"284640.0,189760.0|3,7",0.29,0,,,,,"Table D-8, p.305",high
PH.S.SMRF.1S-Time,0,1 EA,worker_hour,lognormal,"44.04,29.36|3,7",0.29,0,normal,"50.76,33.84|3,7",0.35,0,normal,"67.44,44.96|3,7",0.35,0,,,,,"Table D-8, p.305",high
